100,18,16.25,0.0003
1000,18,16.25,0.003352
2000,18,16.25,0.007415
5000,18,16.25,0.00732
10000,18,16.25,0.042087
20000,18,16.25,0.088272
50000,18,16.25,0.23826
100000,18,16.25,0.548132
200000,18,16.25,1.141496
500000,18,16.25,3.009414
1000000,18,16.25,7.018407
100,18,16.25,0.000322
1000,18,16.25,0.003363
2000,18,16.25,0.007162
5000,18,16.25,0.007197
10000,18,16.25,0.040555
20000,18,16.25,0.09474
50000,18,16.25,0.236788
100000,18,16.25,0.495829
200000,18,16.25,1.030997
500000,18,16.25,2.876523
1000000,18,16.25,5.89085
100,18,16.25,0.000294
1000,18,16.25,0.00327
2000,18,16.25,0.006467
5000,18,16.25,0.00621
10000,18,16.25,0.034901
20000,18,16.25,0.075358
50000,18,16.25,0.200943
100000,18,16.25,0.435455
200000,18,16.25,0.918142
500000,18,16.25,2.471353
1000000,18,16.25,5.336382
100,18,16.25,0.000251
1000,18,16.25,0.00341
2000,18,16.25,0.00674
5000,18,16.25,0.006013
10000,18,16.25,0.040924
20000,18,16.25,0.083216
50000,18,16.25,0.230303
100000,18,16.25,0.451463
200000,18,16.25,0.990577
500000,18,16.25,2.66415
1000000,18,16.25,5.921702
100,18,16.25,0.000223
1000,18,16.25,0.003143
2000,18,16.25,0.006571
5000,18,16.25,0.006017
10000,18,16.25,0.035486
20000,18,16.25,0.075746
50000,18,16.25,0.204633
100000,18,16.25,0.435748
200000,18,16.25,0.935321
500000,18,16.25,2.559506
1000000,18,16.25,6.032469
100,18,16.25,0.000218
1000,18,16.25,0.003179
2000,18,16.25,0.007065
5000,18,16.25,0.006154
10000,18,16.25,0.04036
20000,18,16.25,0.084679
50000,18,16.25,0.212737
100000,18,16.25,0.478992
200000,18,16.25,1.029377
500000,18,16.25,2.83216
1000000,18,16.25,5.931919
100,18,16.25,0.000278
1000,18,16.25,0.003182
2000,18,16.25,0.007018
5000,18,16.25,0.007061
10000,18,16.25,0.041342
20000,18,16.25,0.092832
50000,18,16.25,0.276789
100000,18,16.25,0.494434
200000,18,16.25,1.036371
500000,18,16.25,2.722039
1000000,18,16.25,5.624934
100,18,16.25,0.000217
1000,18,16.25,0.003073
2000,18,16.25,0.005765
5000,18,16.25,0.006435
10000,18,16.25,0.03682
20000,18,16.25,0.081723
50000,18,16.25,0.213192
100000,18,16.25,0.424247
200000,18,16.25,0.949183
500000,18,16.25,2.746368
1000000,18,16.25,5.259723
100,18,16.25,0.00026
1000,18,16.25,0.00305
2000,18,16.25,0.006932
5000,18,16.25,0.006434
10000,18,16.25,0.038702
20000,18,16.25,0.082779
50000,18,16.25,0.215327
100000,18,16.25,0.46209
200000,18,16.25,0.939831
500000,18,16.25,2.487493
1000000,18,16.25,5.330993
100,18,16.25,0.000265
1000,18,16.25,0.003188
2000,18,16.25,0.007049
5000,18,16.25,0.006761
10000,18,16.25,0.039705
20000,18,16.25,0.084558
50000,18,16.25,0.210082
100000,18,16.25,0.444593
200000,18,16.25,0.948263
